TubLabel,textbox11,,,,,,,,,,,,textbox19,Total_Consumption,textbox21,textbox12,textbox17
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Jul 08,7/1/2008,8/1/2008,"3,820",Ton-Days,"$36,655.53",9.5956,Grand Total - Chilled Water,"21,688",Ton-Days,"$205,132.09",9.4581
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Aug 08,8/1/2008,9/1/2008,"3,407",Ton-Days,"$32,300.81",9.4800,Grand Total - Electric,"2,412,372",kWh,"$307,186.85",0.1273
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Sep 08,9/1/2008,10/1/2008,"2,718",Ton-Days,"$25,762.05",9.4800,Grand Total - Steam,"9,359",MMBtu,"$248,577.52",26.5592
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Oct 08,10/1/2008,11/1/2008,"2,095",Ton-Days,"$19,705.04",9.4078,Grand Total - Water & Sewer,"1,503",Ccf,"$16,224.97",10.7952
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Nov 08,11/1/2008,12/1/2008,"1,476",Ton-Days,"$14,195.05",9.6195,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Dec 08,12/1/2008,1/1/2009,"1,400",Ton-Days,"$13,348.51",9.5364,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Jan 09,1/1/2009,2/1/2009,"1,414",Ton-Days,"$13,203.44",9.3400,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Feb 09,2/1/2009,3/1/2009,835,Ton-Days,"$7,800.15",9.3400,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Mar 09,3/1/2009,4/1/2009,306,Ton-Days,"$2,872.31",9.4005,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Apr 09,4/1/2009,5/1/2009,846,Ton-Days,"$7,746.87",9.1577,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),May 09,5/1/2009,6/1/2009,"1,635",Ton-Days,"$15,159.61",9.2723,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Chilled Water,CC1 378B - Gund Hall(100.0%),Jun 09,6/1/2009,7/1/2009,"1,738",Ton-Days,"$16,382.72",9.4236,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Jul 08,7/1/2008,8/1/2008,"53,172",kWh,"$7,273.48",0.1368,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Aug 08,8/1/2008,9/1/2008,"49,310",kWh,"$6,639.19",0.1346,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Sep 08,9/1/2008,10/1/2008,"56,733",kWh,"$7,618.13",0.1343,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Oct 08,10/1/2008,10/16/2008,"36,267",kWh,"$4,877.87",0.1345,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Oct 08,10/16/2008,11/1/2008,"37,031",kWh*,"$4,925.16",0.1330,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Nov 08,11/17/2008,12/1/2008,"33,621",kWh,"$4,491.72",0.1336,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Nov 08,11/1/2008,11/17/2008,"41,969",kWh*,"$5,581.85",0.1330,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Dec 08,12/1/2008,1/1/2009,"70,895",kWh,"$9,247.31",0.1304,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Jan 09,1/1/2009,2/1/2009,"66,640",kWh,"$8,150.57",0.1223,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Feb 09,2/1/2009,3/1/2009,"69,481",kWh,"$8,306.74",0.1196,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Mar 09,3/1/2009,4/1/2009,"81,742",kWh,"$9,853.56",0.1205,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Apr 09,4/1/2009,5/1/2009,"78,104",kWh,"$9,483.65",0.1214,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),May 09,5/1/2009,6/1/2009,"70,394",kWh,"$8,635.49",0.1227,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 603B - Gund Hall(100.0%),Jun 09,6/1/2009,7/1/2009,"50,997",kWh,"$6,251.41",0.1226,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Jul 08,7/1/2008,8/1/2008,"119,172",kWh,"$16,300.82",0.1368,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Aug 08,8/1/2008,9/1/2008,"108,828",kWh,"$14,654.18",0.1347,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Sep 08,9/1/2008,10/1/2008,"112,333",kWh,"$15,081.83",0.1343,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Oct 08,10/1/2008,11/1/2008,"139,792",kWh,"$18,692.30",0.1337,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Nov 08,11/1/2008,12/1/2008,"151,013",kWh,"$20,125.60",0.1333,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Dec 08,12/1/2008,1/1/2009,"145,314",kWh,"$18,946.88",0.1304,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Jan 09,1/1/2009,2/1/2009,"135,861",kWh,"$16,626.29",0.1224,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Feb 09,2/1/2009,3/1/2009,"132,325",kWh,"$15,815.09",0.1195,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Mar 09,3/1/2009,4/1/2009,"144,638",kWh,"$17,435.03",0.1205,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Apr 09,4/1/2009,5/1/2009,"146,286",kWh,"$17,767.68",0.1215,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),May 09,5/1/2009,6/1/2009,"151,720",kWh,"$18,627.95",0.1228,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Electric,CE1 604B - Gund Hall(100.0%),Jun 09,6/1/2009,7/1/2009,"128,734",kWh,"$15,777.07",0.1226,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Jul 08,7/1/2008,8/1/2008,66,MMBtu,"$2,338.22",35.3259,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Jul 08,7/1/2008,7/22/2008,0,MMBtu*,$111.09,N/A,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Aug 08,8/1/2008,9/1/2008,66,MMBtu,"$2,338.22",35.3259,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Sep 08,9/1/2008,10/1/2008,64,MMBtu,"$2,260.29",35.3281,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Oct 08,10/1/2008,11/1/2008,427,MMBtu,"$11,957.77",27.9806,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Nov 08,11/1/2008,12/1/2008,961,MMBtu,"$27,447.36",28.5482,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Dec 08,12/1/2008,1/1/2009,"1,328",MMBtu,"$37,837.90",28.4993,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Jan 09,1/1/2009,2/1/2009,"1,576",MMBtu,"$41,495.65",26.3379,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Feb 09,2/1/2009,3/1/2009,"1,976",MMBtu,"$52,144.43",26.3942,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Mar 09,3/1/2009,4/1/2009,"1,445",MMBtu,"$36,339.12",25.1518,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Apr 09,4/1/2009,5/1/2009,772,MMBtu,"$19,403.08",25.1472,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),May 09,5/1/2009,6/1/2009,490,MMBtu,"$10,379.22",21.1743,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Steam,CS1 194B - Gund Hall(100.0%),Jun 09,6/1/2009,7/1/2009,189,MMBtu,"$4,525.17",23.9579,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Jul 08,7/1/2008,8/1/2008,88,Ccf,$940.70,10.6849,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Aug 08,8/1/2008,9/1/2008,97,Ccf,"$1,034.77",10.6843,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Sep 08,9/1/2008,10/1/2008,136,Ccf,"$1,471.69",10.7895,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Oct 08,10/1/2008,11/1/2008,141,Ccf,"$1,522.44",10.7898,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Nov 08,11/1/2008,12/1/2008,151,Ccf,"$1,623.93",10.7895,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Dec 08,12/1/2008,1/1/2009,118,Ccf,"$1,272.42",10.7531,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Jan 09,1/1/2009,2/1/2009,118,Ccf,"$1,272.42",10.7531,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Feb 09,2/1/2009,3/1/2009,118,Ccf,"$1,272.42",10.7531,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Mar 09,3/1/2009,4/1/2009,152,Ccf,"$1,645.40",10.8051,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),Apr 09,4/1/2009,5/1/2009,147,Ccf,"$1,590.55",10.8046,,,,,
Payer Tub,Month ,235,Gund Hall (02240; B-378),Water & Sewer,CW1 050B - Gund Hall(100.0%),May 09,5/1/2009,6/1/2009,168,Ccf,"$1,809.94",10.8050,,,,,
