,,Gund Bus-A 15 Min Block Demand - kVA,Gund Bus-A Current Phase A - Amps,Gund Bus-A Current Phase B - Amps,Gund Bus-A Current Phase C - Amps,Gund Bus-A Current Phase N - Amps,Gund Bus-A Energy - kWh,Gund Bus-A Frequency - Hertz,Gund Bus-A Max Monthly Demand - kW,Gund Bus-A Power Apparent - kVA,Gund Bus-A Power Reactive - kVAR,Gund Bus-A Power Real - kW,Gund Bus-A True Power Factor - PF,Gund Bus-A Voltage AB - Volts,Gund Bus-A Voltage AN - Volts,Gund Bus-A Voltage BC - Volts,Gund Bus-A Voltage BN - Volts,Gund Bus-A Voltage CA - Volts,Gund Bus-A Voltage CN - Volts,Gund Bus-B 15 Min Block Demand - kVA,Gund Bus-B Current Phase A - Amps,Gund Bus-B Current Phase B - Amps,Gund Bus-B Current Phase C - Amps,Gund Bus-B Current Phase N - Amps,Gund Bus-B Energy - kWh,Gund Bus-B Frequency - Hertz,Gund Bus-B Max Monthly Demand - kW,Gund Bus-B Power Apparent - kVA,Gund Bus-B Power Reactive - kVAR,Gund Bus-B Power Real - kW,Gund Bus-B True Power Factor - PF,Gund Bus-B Voltage AB - Volts,Gund Bus-B Voltage AN - Volts,Gund Bus-B Voltage BC - Volts,Gund Bus-B Voltage BN - Volts,Gund Bus-B Voltage CA - Volts,Gund Bus-B Voltage CN - Volts,Gund Condensate Counter - count,Gund Condensate FlowTotal - LBS,Gund Main Demand - Tons,Gund Main Energy - Ton-Days,Gund Main FlowRate - gpm,Gund Main FlowTotal - kgal(1000),Gund Main SignalAeration - Count,Gund Main SignalStrength - Count,Gund Main SonicVelocity - Ft/Sec,Gund Main TempDelta - Deg F,Gund Main TempReturn - Deg F,Gund Main TempSupply - Deg F
1/1/2019 1:00,White,87.8,94.57,104.98,105.54,32.09,"14,333,081.98",59.99,309.09,87.84,21.45,85.06,-0.97,498.07,287.56,498.8,288.31,498.3,288.35,0,0.01,0,0,0.01,"5,269,275.00",59.99,0.02,0,0,0,-1,493.47,284.59,493.32,285.07,493.12,285.1,"251,415.85","25,141,583.54",1.45,"112,638.19",2.67,"294,212.52",0,55,"1,426.59",13.03,55.29,42.24
1/1/2019 2:00,White,87.41,93.52,104.37,105.52,30.83,"14,333,166.85",59.99,309.09,87.57,21.93,84.63,-0.97,498.38,287.68,499.21,288.5,498.6,288.51,0,0.02,0,0,0.02,"5,269,275.00",59.99,0.02,0,0,0,-1,493.71,284.66,493.62,285.18,493.3,285.3,"251,417.82","25,141,780.63",1.62,"112,638.26",3.06,"294,212.67",0,55,"1,426.48",13.16,55.33,42.23
1/1/2019 3:00,#d2e4b0,88.12,94.15,104.62,106.32,30.38,"14,333,251.72",60,309.09,87.91,21.68,85.09,-0.97,498.69,287.8,499.63,288.69,498.9,288.68,0,0.01,0,0,0.01,"5,269,275.00",59.99,0.02,0,0,0,-1,493.94,284.74,493.92,285.29,493.48,285.51,"251,421.08","25,142,099.44",1.51,"112,638.32",2.77,"294,212.83",0,55,"1,426.23",13.19,55.33,42.21
1/1/2019 4:00,White,87.81,93.63,104.51,105.55,26.85,"14,333,336.72",60,309.09,87.69,22.16,84.77,-0.97,499,287.9,500.04,288.83,499.2,288.78,0,0,0,0,0,"5,269,275.00",59.99,0.02,0,0,0,-1,494.17,284.81,494.22,285.4,493.66,285.52,"251,431.51","25,143,147.56",1.44,"112,638.39",2.68,"294,212.99",0,55,"1,425.98",13.26,55.4,42.19
1/1/2019 5:00,White,87.01,92.67,102.36,105.99,24.3,"14,333,420.85",60,309.09,86.85,22.74,83.79,-0.96,499.29,287.79,500.39,288.7,499.49,288.65,0,0,0,0,0,"5,269,275.00",60,0.02,0,0,0,-1,494.41,284.89,494.52,285.5,493.85,285.37,"251,435.35","25,143,531.54",1.48,"112,638.45",2.78,"294,213.15",0,55,"1,425.73",13.43,55.61,42.2
1/1/2019 6:00,#d2e4b0,86.45,91.96,103.85,105.06,26.5,"14,333,504.85",60,309.09,86.68,21.67,83.9,-0.97,498.99,287.65,499.9,288.52,499.2,288.49,0,0.05,0,0,0.05,"5,269,275.00",60,0.02,0,0,0,-1,494.24,284.96,494.35,285.59,493.75,285.22,"251,439.09","25,143,905.63",1.46,"112,638.52",2.65,"294,213.31",0,55,"1,425.48",13.43,55.67,42.24
1/1/2019 7:00,White,86.21,92.01,102.4,104.89,28.11,"14,333,587.98",60,309.09,86.17,21.92,83.28,-0.97,498.43,287.5,499.14,288.34,498.54,288.32,0,0.03,0,0,0.03,"5,269,275.00",60,0.02,0,0,0,-1,493.75,284.93,493.82,285.49,493.33,284.94,"251,446.51","25,144,641.90",1.56,"112,638.59",2.77,"294,213.47",0,55,"1,425.23",13.49,55.75,42.23
1/1/2019 8:00,White,86.39,91.98,104.09,103.51,24.42,"14,333,671.98",60,309.09,86.27,23.22,83.11,-0.96,497.99,287.36,498.9,288.17,498.03,288.16,0,0.02,0,0,0.02,"5,269,275.00",59.99,0.02,0,0,0,-1,493.51,284.79,493.56,285.37,493.11,284.99,"251,459.27","25,145,916.69",1.61,"112,638.66",2.86,"294,213.64",0,55,"1,424.98",13.66,56.1,42.47
1/1/2019 9:00,#d2e4b0,86.67,92.7,105.53,103.41,23.99,"14,333,755.10",60,309.09,86.92,23.82,83.57,-0.96,497.72,287.22,498.75,287.99,497.71,288,0,0.01,0,0,0.01,"5,269,275.00",59.9,0.02,0,0,0,-1,492.74,284.24,492.88,284.82,492.38,284.43,"251,470.24","25,147,016.30",1.59,"112,638.72",2.84,"294,213.82",0,55,"1,424.73",13.85,56.27,42.37
1/1/2019 10:00,White,87.08,93.41,105.96,104.74,24.56,"14,333,838.60",60,309.09,87.41,23.8,84.07,-0.96,497.45,287.08,498.25,287.82,497.41,287.84,0,0.03,0,0,0.03,"5,269,275.00",59.99,0.02,0,0,0,-1,493,284.45,493.29,285.03,492.62,284.54,"251,480.95","25,148,086.07",1.8,"112,638.79",2.94,"294,214.00",0,55,"1,424.77",14.92,56.23,41.3
