,,Gund Bus-A 15 Min Block Demand - kVA,Gund Bus-A Current Phase A - Amps,Gund Bus-A Current Phase B - Amps,Gund Bus-A Current Phase C - Amps,Gund Bus-A Current Phase N - Amps,Gund Bus-A Energy - kWh,Gund Bus-A Frequency - Hertz,Gund Bus-A Max Monthly Demand - kW,Gund Bus-A Power Apparent - kVA,Gund Bus-A Power Reactive - kVAR,Gund Bus-A Power Real - kW,Gund Bus-A True Power Factor - PF,Gund Bus-A Voltage AB - Volts,Gund Bus-A Voltage AN - Volts,Gund Bus-A Voltage BC - Volts,Gund Bus-A Voltage BN - Volts,Gund Bus-A Voltage CA - Volts,Gund Bus-A Voltage CN - Volts,Gund Bus-B 15 Min Block Demand - kVA,Gund Bus-B Current Phase A - Amps,Gund Bus-B Current Phase B - Amps,Gund Bus-B Current Phase C - Amps,Gund Bus-B Current Phase N - Amps,Gund Bus-B Energy - kWh,Gund Bus-B Frequency - Hertz,Gund Bus-B Max Monthly Demand - kW,Gund Bus-B Power Apparent - kVA,Gund Bus-B Power Reactive - kVAR,Gund Bus-B Power Real - kW,Gund Bus-B True Power Factor - PF,Gund Bus-B Voltage AB - Volts,Gund Bus-B Voltage AN - Volts,Gund Bus-B Voltage BC - Volts,Gund Bus-B Voltage BN - Volts,Gund Bus-B Voltage CA - Volts,Gund Bus-B Voltage CN - Volts,Gund Condensate Counter - count,Gund Condensate FlowTotal - LBS,Gund Main Demand - Tons,Gund Main Energy - Ton-Days,Gund Main FlowRate - gpm,Gund Main FlowTotal - kgal(1000),Gund Main SignalAeration - Count,Gund Main SignalStrength - Count,Gund Main SonicVelocity - Ft/Sec,Gund Main TempDelta - Deg F,Gund Main TempReturn - Deg F,Gund Main TempSupply - Deg F
7/1/2019 1:00,White,110.98,134.95,123.25,122.21,30.07,"15,173,664.94",59.98,304.97,110.71,27.3,107.22,-0.97,503.4,290.47,503.62,290.95,503.32,290.86,0,0,0,0,0,"5,269,275.00",59.99,0.34,0,0,0,-1,499.17,288.21,499.08,288.41,499.14,288.12,"299,102.81","29,910,281.25",13.36,"115,955.77",29.32,"302,234.42",1.19,54,"1,429.72",10.88,53.33,42.48
7/1/2019 2:00,White,108.03,128.04,121.63,120.16,29.24,"15,173,770.07",59.97,304.97,107.97,28.77,103.99,-0.96,504.99,291.04,505.43,291.48,504.87,291.46,0,0,0,0,0,"5,269,275.00",60,0.34,0,0,0,-1,501.41,289.24,501.3,289.67,501.13,289.29,"299,102.81","29,910,281.25",13.35,"115,956.33",29.8,"302,236.15",1.06,54,"1,429.57",10.7,53.18,42.5
7/1/2019 3:00,#d2e4b0,109.35,130.86,122.62,121.99,29.06,"15,173,874.81",59.97,304.97,109.48,28.99,105.5,-0.96,505.69,291.38,505.72,291.89,505.62,291.84,0,0,0,0,0,"5,269,275.00",60,0.34,0,0,0,-1,500.74,288.79,500.83,289.37,500.58,288.96,"299,102.81","29,910,281.25",13.13,"115,956.89",29.83,"302,237.88",1,54,"1,429.42",10.5,52.97,42.51
7/1/2019 4:00,White,108.21,130.84,121.38,119.91,29.14,"15,173,979.32",59.97,304.97,108.41,28.66,104.47,-0.96,504.68,290.95,504.89,291.5,504.82,291.45,0,0,0,0,0,"5,269,275.00",60.01,0.34,0,0,0,-0.99,499.86,288.48,500.07,289.12,500.09,288.62,"299,102.81","29,910,281.25",12.89,"115,957.45",30.13,"302,239.62",1,54,"1,429.32",10.25,52.72,42.53
7/1/2019 5:00,White,108.59,131.7,121.42,119.98,29.45,"15,174,084.19",59.96,304.97,108.43,29.34,104.35,-0.96,504.23,290.45,504.49,290.85,503.94,290.99,0,0,0,0,0,"5,269,275.00",60.01,0.34,0,0,0,-1,499.42,287.89,499.31,288.63,499.28,288.39,"299,102.81","29,910,281.25",12.22,"115,958.01",29.32,"302,241.44",1,54,"1,429.26",10.01,52.56,42.55
7/1/2019 6:00,#d2e4b0,102.71,124.39,114.98,109.34,31.11,"15,174,186.45",59.97,304.97,101.26,27.25,97.53,-0.96,502.63,289.94,503.11,290.2,502.9,290.52,0,0,0,0,0,"5,269,275.00",60.02,0.34,0,0,0,-1,498.27,287.28,498.53,287.27,497.95,287.51,"299,102.81","29,910,281.25",12.13,"115,958.77",29.42,"302,243.52",1,54,"1,429.21",9.91,52.48,42.52
7/1/2019 7:00,White,121.96,160.47,143.43,137.97,36.37,"15,174,292.40",59.97,304.97,127.86,29.12,124.44,-0.97,501.04,289.26,501.56,289.59,501.38,289.92,0,0.02,0,0,0.02,"5,269,275.00",60.01,0.34,0,0,0,-1,496.7,287.13,496.91,286.8,497.01,286.71,"299,102.81","29,910,281.25",29.47,"115,960.09",56.76,"302,246.12",1,54,"1,429.15",11.5,53.97,42.46
7/1/2019 8:00,White,161.19,196.72,180.02,188.56,36.77,"15,174,438.22",59.97,304.97,163.7,34.14,160.02,-0.98,501.85,289.66,501.88,289.91,502.32,290.35,0,0,0,0,0,"5,269,275.00",59.81,0.34,0,0,0,-1,495.89,286.36,495.88,286.16,496.05,286.33,"299,102.81","29,910,281.25",79.04,"115,961.70",154.21,"302,251.41",1,54,"1,429.10",12.89,55.7,42.83
7/1/2019 9:00,#d2e4b0,175.18,214.11,201.85,209.84,35.71,"15,174,602.94",59.97,304.97,180.37,37.83,176.23,-0.98,499.31,288.57,499.5,288.84,499.92,289.23,0,0.01,0,0,0.01,"5,269,275.00",59.98,0.34,0,0,0,-1,495.33,286.03,495.1,285.77,495.69,286,"299,102.81","29,910,281.25",98.76,"115,964.77",173.71,"302,260.07",9.62,54,"1,429.04",12.59,55.33,42.73
7/1/2019 10:00,White,235.93,278.17,277.25,282.03,41.52,"15,174,813.21",59.98,304.97,240.56,41.38,236.94,-0.99,497.37,287.48,497.75,287.77,497.67,288.1,0,0.01,0,0,0.01,"5,269,275.00",59.92,0.34,0,0,0,-1,492.61,284.5,492.49,284.37,492.79,284.38,"299,102.81","29,910,281.25",126.54,"115,970.23",222.88,"302,273.27",9.79,54,"1,428.99",13.29,56,42.69
