,New_TMY3,New_RNNs,Post_TMY3,Post_RNNs,Pre_TMY3,Pre_RNNs,,New_TMY3,New_RNNs,Post_TMY3,Post_RNNs,Pre_TMY3,Pre_RNNs
Jan,1.893835843,94.17034277,2.245674313,112.6267142,0.047505554,148.0935342,,533944.414,420326.0082,617203.8354,489194.349,640970.8254,504689.8529
Feb,0.038964357,3.014243092,0.056590523,3.52077429,0.072178331,21.11404191,,390636.2046,346056.1418,447642.4532,401305.8252,459411.4376,411484.5168
Mar,2061.596261,668.8025578,2339.644622,785.429508,2126.164874,1060.282039,,288969.9495,314982.1789,330562.8417,360279.546,333416.0109,372118.5758
Apr,5838.669429,7544.875814,6488.22438,8656.153515,6225.315898,7232.06594,,146360.3907,103851.8232,165165.4586,118705.1333,162761.6566,118710.2162
May,15485.52109,10733.11481,17038.02257,12322.80397,15397.16683,10339.75629,,57938.14187,60905.4669,66027.78931,69689.7598,65822.53932,69836.71594
Jun,52480.43723,57744.76841,57680.76194,63794.46203,50085.32976,53472.2402,,19980.39409,6344.504978,22580.83275,7215.194959,23292.51616,7513.848572
Jul,65621.41659,100612.8078,72540.77769,112854.2555,54430.164,83234.29197,,89.73266368,2.070491788,117.4680822,2.619712471,168.6683373,127.5700779
Aug,59280.31664,73855.24233,65621.31421,81141.6852,48748.60697,61386.13627,,901.6723306,181.7582658,1061.094198,203.9368001,1194.397985,277.5273874
Sep,36695.8534,38059.27668,40774.14783,42461.76198,35393.52418,36066.96342,,10077.95862,10850.22792,11303.45951,12185.85924,12010.29704,12827.71229
Oct,5107.654816,7284.998005,5786.741004,8481.443369,5702.00092,7605.477322,,101867.5181,67332.67167,112846.7582,75194.49561,111050.7359,77672.94677
Nov,822.0196693,91.51473257,968.8762485,110.4793517,1488.817452,432.7257583,,227509.1802,254619.8912,257764.2812,284658.3598,261639.7486,285982.8029
Dec,23.20371505,167.3650093,25.85297212,201.2244433,101.1074665,183.1542686,,343521.0047,342295.2547,391064.9569,392879.1829,401053.6228,407117.3234
