,New_TMY3,New_RNNs,Post_TMY3,Post_RNNs,Pre_TMY3,Pre_RNNs,,New_TMY3,New_RNNs,Post_TMY3,Post_RNNs,Pre_TMY3,Pre_RNNs
Jan,0.056872788,0.256642509,0.077880433,1.155193785,0.351031169,6.437464196,,4996.916559,4051.523445,6987.50888,5723.986463,13810.09052,11945.16654
Feb,0.092432326,0.905160617,0.153938217,1.657523597,2.137729254,12.01145912,,3300.241041,3043.077869,4460.162158,4304.043323,9310.652856,9264.039034
Mar,18.86539278,6.582328583,38.83540216,17.839331,63.15088586,48.71342743,,2129.219588,2806.481237,2766.798643,3512.648801,6430.356708,7596.16408
Apr,51.0341235,55.38755162,93.45943568,118.4857649,147.0909764,194.8495835,,696.6678001,580.2253343,916.1672876,793.5635955,2447.565598,2162.30551
May,171.7044338,93.61998309,308.8096097,197.5644812,427.0170721,261.2156437,,86.27982767,117.0900251,146.93283,185.5901214,466.102047,617.8407152
Jun,606.5122823,628.6380667,938.4113241,993.1350463,1154.289673,1207.372698,,6.025597235,3.699966534,9.293551995,5.263236788,68.35540021,22.49486777
Jul,1112.833295,1376.73523,1665.614306,2078.253478,2034.820819,2601.102438,,0.170717407,0,0.695770968,0.063402745,2.881131992,1.188033087
Aug,1033.681729,1203.301713,1534.606679,1775.370215,1814.700515,2116.067483,,0.2837007,0.351927115,1.354848739,0.625672714,7.069639033,4.001221867
Sep,490.44481,492.3126855,756.7859918,765.252264,901.3981984,916.7160803,,10.79176183,10.88804921,14.85678303,14.50727719,88.30141788,70.40772682
Oct,57.87797359,70.05436692,112.1194259,142.5625752,150.7372613,196.332792,,179.7757423,152.2877738,308.4553545,237.6186284,1018.61232,719.8814479
Nov,12.32070642,7.293272736,29.48697648,13.00375139,55.13976496,26.04442485,,1462.696988,1543.813962,1997.820483,1924.082639,4592.87797,4840.402666
Dec,1.755084825,2.106180083,3.078105095,4.211972863,9.50545354,9.414122044,,3003.621864,3447.382305,3845.568164,4404.424542,8320.347322,9204.164903
