,New_TMY3,New_Real,New_RNNs,Post_TMY3,Post_Real,Post_RNNs,Pre_TMY3,Pre_Real,Pre_RNNs,,New_TMY3,New_Real,New_RNNs,Post_TMY3,Post_Real,Post_RNNs,Pre_TMY3,Pre_Real,Pre_RNNs
Jan,0.056872788,0.04979267,0.256642509,0.077880433,0.135236418,1.155193785,0.351031169,1.57063865,6.437464196,,4996.916559,6746.668096,4051.523445,6987.50888,9865.044189,5723.986463,13810.09052,18939.22188,11945.16654
Feb,0.092432326,0.16571642,0.905160617,0.153938217,0.34525498,1.657523597,2.137729254,3.704163869,12.01145912,,3300.241041,5673.311806,3043.077869,4460.162158,8281.727761,4304.043323,9310.652856,16079.00505,9264.039034
Mar,18.86539278,0.914593779,6.582328583,38.83540216,2.629410598,17.839331,63.15088586,10.7056806,48.71342743,,2129.219588,5901.584979,2806.481237,2766.798643,8142.896607,3512.648801,6430.356708,15496.84412,7596.16408
Apr,51.0341235,11.37148984,55.38755162,93.45943568,31.98573574,118.4857649,147.0909764,62.56546427,194.8495835,,696.6678001,2271.377617,580.2253343,916.1672876,3027.183305,793.5635955,2447.565598,6499.686327,2162.30551
May,171.7044338,3.154015206,93.61998309,308.8096097,12.37286905,197.5644812,427.0170721,26.7290043,261.2156437,,86.27982767,802.6691162,117.0900251,146.93283,940.1352224,185.5901214,466.102047,2299.059781,617.8407152
Jun,606.5122823,200.1277602,628.6380667,938.4113241,351.234189,993.1350463,1154.289673,449.5760534,1207.372698,,6.025597235,72.39299928,3.699966534,9.293551995,121.3909371,5.263236788,68.35540021,460.3645255,22.49486777
Jul,1112.833295,501.4554298,1376.73523,1665.614306,775.2509264,2078.253478,2034.820819,921.0991115,2601.102438,,0.170717407,1.005328549,0,0.695770968,2.093312146,0.063402745,2.881131992,9.619266983,1.188033087
Aug,1033.681729,505.1514031,1203.301713,1534.606679,771.0948878,1775.370215,1814.700515,897.986333,2116.067483,,0.2837007,5.457936758,0.351927115,1.354848739,7.308023611,0.625672714,7.069639033,40.45422328,4.001221867
Sep,490.44481,119.5638837,492.3126855,756.7859918,208.6974637,765.252264,901.3981984,257.784662,916.7160803,,10.79176183,48.79154318,10.88804921,14.85678303,91.96546614,14.50727719,88.30141788,328.6780393,70.40772682
Oct,57.87797359,23.36092187,70.05436692,112.1194259,47.63966594,142.5625752,150.7372613,74.35879482,196.332792,,179.7757423,739.5144805,152.2877738,308.4553545,851.0763304,237.6186284,1018.61232,2058.530163,719.8814479
Nov,12.32070642,0.198316988,7.293272736,29.48697648,0.287558848,13.00375139,55.13976496,3.870962613,26.04442485,,1462.696988,3765.750067,1543.813962,1997.820483,5026.464954,1924.082639,4592.87797,10587.20267,4840.402666
Dec,1.755084825,0.900321321,2.106180083,3.078105095,2.049739827,4.211972863,9.50545354,5.508008081,9.414122044,,3003.621864,5521.28458,3447.382305,3845.568164,7472.46294,4404.424542,8320.347322,14074.27736,9204.164903
