,New_TMY3,New_NREL,New_Real,New_RNNs,Post_TMY3,Post_NREL,Post_Real,Post_RNNs,Pre_TMY3,Pre_NREL,Pre_Real,Pre_RNNs,,New_TMY3,New_NREL,New_Real,New_RNNs,Post_TMY3,Post_NREL,Post_Real,Post_RNNs,Pre_TMY3,Pre_NREL,Pre_Real,Pre_RNNs
Jan,0.056872788,0.110011438,0.18050432,0.18050432,0.077880433,0.163606795,0.318496093,0.318496093,0.351031169,1.651544643,2.301876714,2.301876714,,4996.916559,3381.12798,4062.461431,4062.461431,6987.50888,4652.609269,5725.933601,5725.933601,13810.09052,9925.101084,11912.03617,11912.03617
Feb,0.092432326,0.295814341,0.671954807,0.671954807,0.153938217,0.824909041,1.21150702,1.21150702,2.137729254,4.698386494,5.912361298,5.912361298,,3300.241041,2836.288682,2906.614573,2906.614573,4460.162158,3877.345046,4194.779788,4194.779788,9310.652856,8501.959932,8988.376725,8988.376725
Mar,18.86539278,0.277148284,6.336005223,6.336005223,38.83540216,1.090240282,17.9852323,17.9852323,63.15088586,3.588475321,38.18501458,38.18501458,,2129.219588,3156.014972,2238.957575,2238.957575,2766.798643,4328.793876,2936.251375,2936.251375,6430.356708,9408.415912,6626.100296,6626.100296
Apr,51.0341235,23.11361274,51.18561879,51.18561879,93.45943568,57.48554903,111.8973859,111.8973859,147.0909764,107.2182834,172.8217067,172.8217067,,696.6678001,819.0954862,448.6514441,448.6514441,916.1672876,1102.450251,633.2866994,633.2866994,2447.565598,2816.938875,1882.68718,1882.68718
May,171.7044338,101.5062886,161.3871434,161.3871434,308.8096097,197.6681076,300.6058111,300.6058111,427.0170721,292.5220635,418.8887611,418.8887611,,86.27982767,115.6247395,79.99724377,79.99724377,146.93283,232.7868332,151.2162329,151.2162329,466.102047,790.5559366,540.8223641,540.8223641
Jun,606.5122823,511.1657021,730.4256328,858.166,938.4113241,793.6343863,1119.476354,1308.982944,1154.289673,955.3168615,1329.072001,1565.666601,,6.025597235,6.256320812,3.738169686,3.738169686,9.293551995,11.29442084,5.026741686,4.948378369,68.35540021,87.34130439,19.11020571,16.71332948
Jul,1112.833295,784.9992953,1457.653136,1268.049971,1665.614306,1163.081786,2184.219488,1795.828861,2034.820819,1394.602232,2742.831903,2168.223257,,0.170717407,0.09880073,0,0.05797287,0.695770968,0.839067203,0.02756782,0.285147431,2.881131992,8.184114996,1.492503178,2.313179934
Aug,1033.681729,906.3060495,1222.079513,1297.124076,1534.606679,1342.830305,1801.822226,1921.965518,1814.700515,1573.722834,2123.80564,2272.884244,,0.2837007,0.901765665,0.467458737,0.017415128,1.354848739,2.509645009,0.851832486,0.354046503,7.069639033,13.58852636,5.069428226,2.07968165
Sep,490.44481,499.6997641,505.4170542,736.7796426,756.7859918,769.3581631,780.7056892,1119.41231,901.3981984,918.5960335,937.7893768,1315.639409,,10.79176183,7.983884271,10.16522302,2.094740487,14.85678303,10.58454463,12.77517503,3.474921948,88.30141788,68.05251751,61.34108878,7.987099704
Oct,57.87797359,129.7920919,73.97190057,315.7227844,112.1194259,236.3009051,147.6796541,535.6180071,150.7372613,294.4912356,197.7058096,638.6896536,,179.7757423,64.36826774,88.07212192,12.57763798,308.4553545,126.5750942,175.194318,18.96486197,1018.61232,471.1263044,594.377844,109.1049634
Nov,12.32070642,15.42240039,7.371001482,44.29159249,29.48697648,30.72187646,14.77019696,82.79003341,55.13976496,49.96997759,25.36293291,112.720606,,1462.696988,1523.996598,1693.157322,864.2124518,1997.820483,2009.174621,2120.569622,1118.843022,4592.87797,4990.506917,5147.142,3103.258427
Dec,1.755084825,0.142148808,1.081694537,0.733487324,3.078105095,0.123947087,1.738978367,1.788295273,9.50545354,1.619492124,5.936637221,5.099445585,,3003.621864,3984.751188,3018.827563,3358.375846,3845.568164,5662.605719,3994.851288,4647.226725,8320.347322,11904.3861,8713.876361,10020.76552
